province,total
Hà Nội,1642679
Hồ Chí Minh,628388
Hải Phòng,537053
Nghệ An,501445
Bắc Giang,391384
Vĩnh Phúc,375418
Hải Dương,372146
Quảng Ninh,356116
Bắc Ninh,353691
Thái Nguyên,346972
Phú Thọ,330992
Bình Dương,325199
Nam Định,300981
Thái Bình,296720
Hưng Yên,243943
Hoà Bình,239853
Lào Cai,188491
Thanh Hóa,177612
Đắk Lắk,172439
Lạng Sơn,160752
Yên Bái,157429
Sơn La,153357
Cà Mau,147574
Tuyên Quang,147291
Tây Ninh,140248
Bình Định,139474
Quảng Bình,129258
Hà Giang,122610
Khánh Hòa,121589
Bình Phước,119895
Bà Rịa - Vũng Tàu,110570
Đà Nẵng,108420
Đồng Nai,107518
Ninh Bình,104636
Vĩnh Long,103302
Bến Tre,99392
Cao Bằng,98730
Lâm Đồng,97595
Hà Nam,91170
Điện Biên,90478
Quảng Trị,85975
Cần Thơ,76852
Bắc Kạn,76813
Lai Châu,75348
Trà Vinh,75129
Đắk Nông,73427
Gia Lai,70934
Hà Tĩnh,54879
Bình Thuận,54012
Đồng Tháp,51474
Quảng Ngãi,50379
Long An,50161
Quảng Nam,49465
Thừa Thiên Huế,48061
Bạc Liêu,46876
Phú Yên,44149
An Giang,43163
Kiên Giang,43105
Tiền Giang,39441
Sóc Trăng,34448
Kon Tum,26319
Hậu Giang,17804
Ninh Thuận,8883